game_id,group,game_name,n_months,first_month,last_month,peak_avg,peak_concurrent,mean_avg,median_avg,peak_position,recent_avg,retention_ratio,months_above_half_peak,release_year,base_price,Estimated Owners
440,Free-to-play,Team Fortress 2,166,2012-07-01,2026-04-01,118906.77,253225,60565.03795180724,52918.83,0.8,47170.844166666655,0.396704444723094,0.3674698795180723,2007,Free,20M - 50M
550,Paid,Left 4 Dead 2,166,2012-07-01,2026-04-01,34798.59,161590,14658.997409638556,12247.98,0.8,22551.43166666667,0.6480559030313203,0.3373493975903614,2009,$9.99,20M - 50M
570,Free-to-play,Dota 2,166,2012-07-01,2026-04-01,709178.26,1291328,454208.0010240964,450487.71499999997,0.2606060606060606,512258.2808333333,0.7223265428826503,0.8975903614457831,2013,Free,100M+
730,Free-to-play,Counter-Strike 2,166,2012-07-01,2026-04-01,1117517.4,1818368,494705.27734939766,398438.065,0.7878787878787878,995213.4233333335,0.8905574296501634,0.4036144578313253,2012,Free,100M+
4000,Paid,Garry's Mod,166,2012-07-01,2026-04-01,38758.97,73750,24645.592108433735,24825.559999999998,0.5636363636363636,20124.28833333333,0.519216282923239,0.8373493975903614,2006,$9.99,20M - 50M
12210,Paid,Grand Theft Auto IV: Complete,166,2012-07-01,2026-04-01,4401.87,11696,1625.8739156626507,1575.6399999999999,0.07272727272727272,2608.1575,0.5925112509001855,0.2469879518072289,2020,$6.99,5M - 10M
48700,Paid,Mount & Blade: Warband,166,2012-07-01,2026-04-01,10991.36,32799,5106.683253012049,4331.83,0.5575757575757576,3160.9391666666666,0.28758399021291875,0.39759036144578314,2010,$19.99,5M - 10M
49520,Paid,Borderlands 2,164,2012-09-01,2026-04-01,61242.78,123596,7030.92487804878,5642.014999999999,0.0,3180.0400000000004,0.05192514121664628,0.018292682926829267,2012,$19.99,5M - 10M
72850,Paid,The Elder Scrolls V: Skyrim,166,2012-07-01,2026-04-01,39165.78,90780,12776.334457831326,9011.650000000001,0.10909090909090909,1330.3825,0.03396798174324627,0.3313253012048193,2011,$19.99,10M - 20M
105600,Paid,Terraria,166,2012-07-01,2026-04-01,129808.62,486918,23951.049638554217,21948.77,0.5696969696969697,35131.5325,0.27064098285614624,0.024096385542168676,2011,$9.99,20M - 50M
109600,Free-to-play,Neverwinter,149,2013-12-01,2026-04-01,7187.49,14822,1837.9912080536913,1778.75,0.0,638.0375,0.0887705582894724,0.0738255033557047,2013,Free,5M - 10M
113400,Free-to-play,APB Reloaded,166,2012-07-01,2026-04-01,2980.53,5592,937.1877710843374,545.235,0.07878787878787878,150.32333333333332,0.05043510158707791,0.25301204819277107,2011,Free,5M - 10M
203160,Paid,Tomb Raider,158,2013-03-01,2026-04-01,12969.71,89494,1397.2582278481011,1152.8400000000001,0.535031847133758,1259.8441666666668,0.09713741993203139,0.012658227848101266,2013,$14.99,5M - 10M
211500,Free-to-play,RaceRoom Racing Experience,164,2012-09-01,2026-04-01,915.02,2600,357.5364024390244,339.485,0.9754601226993865,723.0908333333332,0.7902459326936386,0.2682926829268293,2013,Free,5M - 10M
218230,Free-to-play,PlanetSide 2,162,2012-11-01,2026-04-01,16240.47,29449,2192.5812962962964,1836.37,0.0,530.2025,0.03264699235921128,0.012345679012345678,2012,Free,5M - 10M
221100,Paid,DayZ,163,2012-10-01,2026-04-01,41396.66,78739,17337.82398773006,14731.7,0.9197530864197531,37000.28333333333,0.8937987589659003,0.3803680981595092,2018,$49.99,5M - 10M
224260,Free-to-play,No More Room in Hell,150,2013-11-01,2026-04-01,4105.84,10869,679.5446000000001,518.165,0.0,410.26833333333326,0.09992311764056398,0.02,2013,Free,5M - 10M
225840,Free-to-play,Sven Co-op,124,2016-01-01,2026-04-01,2394.71,6510,334.83338709677423,305.96500000000003,0.0,214.58916666666664,0.08960966741971539,0.016129032258064516,2016,Free,5M - 10M
230410,Free-to-play,Warframe,158,2013-03-01,2026-04-01,86044.53,181509,38848.12740506329,40741.31,0.9745222929936306,55119.713333333326,0.6405952049866892,0.43670886075949367,2013,Free,50M - 100M
236390,Free-to-play,War Thunder,156,2013-04-01,2026-04-01,70092.17,125317,26892.262692307697,13453.455,0.832258064516129,56170.84416666667,0.8013854353013563,0.32051282051282054,2013,Free,20M - 50M
244210,Paid,Assetto Corsa,151,2013-10-01,2026-04-01,10698.78,20019,4263.2937748344375,2576.63,0.8533333333333334,9827.664999999997,0.9185780995590148,0.33774834437086093,2014,$19.99,5M - 10M
252490,Paid,Rust,149,2013-12-01,2026-04-01,142117.25,259646,56276.53677852349,50417.72,0.5743243243243243,104090.64166666668,0.7324279189659713,0.38926174496644295,2018,$39.99,10M - 20M
253710,Free-to-play,theHunter Classic,143,2014-06-01,2026-04-01,1459.03,2703,722.7402797202798,689.18,0.49295774647887325,506.4550000000001,0.34711760553244286,0.43356643356643354,2014,Free,5M - 10M
268910,Paid,Cuphead,107,2017-06-01,2026-04-01,7988.61,19076,1453.141214953271,1309.09,0.03773584905660377,2043.0983333333336,0.25575141774768495,0.018691588785046728,2017,$19.99,5M - 10M
271590,Paid,Grand Theft Auto V Legacy,133,2015-04-01,2026-04-01,192714.01,360761,77237.81631578947,78010.66,0.0,68599.115,0.35596330022918415,0.2631578947368421,2015,$29.99,50M - 100M
273110,Free-to-play,Counter-Strike Nexon: Studio,140,2014-09-01,2026-04-01,4796.67,9858,1210.7424999999998,600.7149999999999,0.07913669064748201,394.1766666666667,0.08217714928620619,0.21428571428571427,2014,Free,10M - 20M
273350,Free-to-play,Evolve Stage 2,135,2015-02-01,2026-04-01,15378.48,51099,413.73659259259256,24.91,0.12686567164179105,10.351666666666665,0.0006731267762917183,0.014814814814814815,2015,Free,5M - 10M
275850,Paid,No Man's Sky,117,2016-08-01,2026-04-01,45883.75,212321,8261.293076923077,6853.47,0.9396551724137931,15570.270833333334,0.3393417241034862,0.02564102564102564,2016,$59.99,5M - 10M
284160,Paid,BeamNG.drive,141,2014-08-01,2026-04-01,21397.71,38677,6055.282624113474,3391.9,0.9785714285714285,18380.859999999997,0.859010613752593,0.23404255319148937,2015,$24.99,5M - 10M
292030,Paid,The Witcher 3: Wild Hunt,132,2015-05-01,2026-04-01,51916.54,103329,15251.08181818182,13523.9,0.0,14281.609166666667,0.2750878461212297,0.06060606060606061,2015,$39.99,20M - 50M
294100,Paid,RimWorld,120,2016-05-01,2026-04-01,51133.98,95851,16169.79775,16376.815,0.9243697478991597,29580.7625,0.5784952100345016,0.1,2018,$34.99,5M - 10M
304930,Free-to-play,Unturned,143,2014-06-01,2026-04-01,66897.53,112648,23389.97503496504,18579.59,0.7253521126760564,10668.4,0.15947375037613495,0.16783216783216784,2017,Free,20M - 50M
306130,Paid,The Elder Scrolls Online,142,2014-07-01,2026-04-01,28467.65,49061,11470.198591549299,11942.91,0.48936170212765956,10211.086666666666,0.35869088831240603,0.31690140845070425,2017,$19.99,5M - 10M
308600,Free-to-play,Gene Shift Auto,112,2017-01-01,2026-04-01,2242.47,213183,67.24517857142857,12.84,0.21621621621621623,28.953333333333333,0.012911358160124032,0.017857142857142856,2017,Free,5M - 10M
311210,Paid,Call of Duty: Black Ops III,126,2015-11-01,2026-04-01,24852.85,63681,4194.372380952382,3541.16,0.0,4043.2825,0.162688886787632,0.031746031746031744,2015,$59.99,5M - 10M
333930,Free-to-play,Dirty Bomb,133,2015-01-01,2026-04-01,7101.69,12963,806.1545112781956,258.39,0.022727272727272728,35.795,0.005040349550599928,0.022556390977443608,2015,Free,5M - 10M
346900,Free-to-play,AdVenture Capitalist,133,2015-04-01,2026-04-01,14188.96,22927,2447.830526315789,1484.93,0.007575757575757576,1137.3308333333332,0.08015603915532452,0.06766917293233082,2015,Free,5M - 10M
351640,Free-to-play,Eternal Senia,126,2015-06-01,2026-03-01,295.23,606,14.816428571428572,5.96,0.0,2.641666666666666,0.00894782598877711,0.007936507936507936,2015,Free,500K - 1M
363970,Free-to-play,Clicker Heroes,132,2015-05-01,2026-04-01,42720.73,65560,6259.762878787878,2771.12,0.007633587786259542,1960.3291666666667,0.0458870709060137,0.06818181818181818,2015,Free,5M - 10M
374320,Paid,DARK SOULS III,121,2016-04-01,2026-04-01,74266.65,129831,8255.359917355372,6819.21,0.0,4814.399166666667,0.06482585610993181,0.008264462809917356,2016,$59.99,5M - 10M
391540,Paid,Undertale,128,2015-09-01,2026-04-01,4973.5,11071,1298.22953125,999.9649999999999,0.031496062992125984,1867.66,0.3755222680205087,0.09375,2015,$9.99,5M - 10M
394360,Paid,Hearts of Iron IV,121,2016-04-01,2026-04-01,41614.67,93196,23281.11289256198,24607.94,0.8583333333333333,36152.01916666667,0.8687325687471912,0.5785123966942148,2016,$49.99,5M - 10M
397900,Free-to-play,Business Tour,115,2016-10-01,2026-04-01,2467.95,7614,858.284956521739,837.64,0.3684210526315789,548.1533333333333,0.22210876773570506,0.1391304347826087,2017,Free,5M - 10M
427520,Paid,Factorio,123,2016-02-01,2026-04-01,54228.89,118166,11059.3018699187,10672.03,0.860655737704918,16120.490833333331,0.2972675788372827,0.024390243902439025,2020,$35.00,5M - 10M
435150,Paid,Divinity: Original Sin 2,117,2016-08-01,2026-04-01,28002.91,93350,6938.876495726495,7087.08,0.1206896551724138,5533.685833333333,0.19761109946549602,0.02564102564102564,2017,$44.99,5M - 10M
466240,Free-to-play,Deceit,116,2016-09-01,2026-04-01,3818.75,16503,831.4037068965516,657.6800000000001,0.3739130434782609,82.30416666666666,0.021552645935624656,0.08620689655172414,2017,Free,5M - 10M
489520,Free-to-play,Minion Masters,115,2016-10-01,2026-04-01,2795.05,10160,671.7529565217392,659.45,0.2982456140350877,282.36,0.10102144863240371,0.06086956521739131,2019,Free,5M - 10M
489830,Paid,The Elder Scrolls V: Skyrim SE,116,2016-09-01,2026-04-01,32154.27,69777,16984.18775862069,17654.67,0.8695652173913043,22022.004166666662,0.6848858383868351,0.5775862068965517,2016,$39.99,10M - 20M
489940,Free-to-play,BATTALION: Legacy,112,2016-11-01,2026-04-01,4046.26,16341,104.76214285714286,4.6,0.27927927927927926,6.32,0.001561936207757287,0.017857142857142856,2019,Free,500K - 1M
518790,Paid,theHunter: Call of the Wild,113,2016-12-01,2026-04-01,10131.02,24953,3488.17796460177,3224.72,0.8571428571428571,4860.107500000001,0.4797253879668583,0.22123893805309736,2017,$19.99,5M - 10M
526870,Paid,Satisfactory,71,2020-06-01,2026-04-01,70615.03,185957,14273.05957746479,11651.59,0.7285714285714285,18493.126666666663,0.26188655115867915,0.028169014084507043,2024,$39.99,5M - 10M
534380,Paid,Dying Light 2 Stay Human,51,2022-02-01,2026-04-01,91226.88,274983,6660.853921568627,4503.33,0.0,4327.7525,0.04743944438305902,0.0196078431372549,2022,$59.99,5M - 10M
548430,Paid,Deep Rock Galactic,113,2016-12-01,2026-04-01,21637.55,53558,6834.43628318584,6701.67,0.6339285714285714,8333.123333333333,0.38512323869076365,0.23008849557522124,2020,$29.99,5M - 10M
553850,Paid,HELLDIVERS 2,27,2024-02-01,2026-04-01,274304.38,458208,60707.001481481486,40433.48,0.0,45020.2875,0.16412529577544477,0.1111111111111111,2024,$39.99,10M - 20M
555570,Free-to-play,Infestation: The New Z,114,2016-11-01,2026-04-01,8581.01,13915,993.9435087719298,378.70500000000004,0.017699115044247787,136.75833333333335,0.015937323617305345,0.05263157894736842,2016,Free,5M - 10M
578080,Free-to-play,PUBG: BATTLEGROUNDS,110,2017-03-01,2026-04-01,1584886.77,3236027,344974.6608181818,266846.975,0.09174311926605505,296155.7141666666,0.1868623801854732,0.08181818181818182,2017,Free,50M - 100M
588430,Free-to-play,Fallout Shelter,109,2017-04-01,2026-04-01,16783.83,42390,1692.2536697247708,1237.8,0.0,1818.6533333333334,0.10835746866676636,0.009174311926605505,2017,Free,5M - 10M
