AppID,Game Title,Release Date,Base Price,Estimated Owners,Peak Concurrent Players (24h)
271590,Grand Theft Auto V Legacy,2015-04-13,$29.99,50M - 100M,88110
105600,Terraria,2011-05-16,$9.99,20M - 50M,37858
292030,The Witcher 3: Wild Hunt,2015-05-18,$39.99,20M - 50M,17925
4000,Garry's Mod,2006-11-29,$9.99,20M - 50M,30201
550,Left 4 Dead 2,2009-11-17,$9.99,20M - 50M,18706
489830,The Elder Scrolls V: Skyrim SE,2016-10-27,$39.99,10M - 20M,23091
72850,The Elder Scrolls V: Skyrim,2011-11-10,$19.99,10M - 20M,1373
252490,Rust,2018-02-08,$39.99,10M - 20M,160154
1085660,Destiny 2 (Paid Legacy Pack),2019-10-01,$39.99,10M - 20M,31458
2358720,Black Myth: Wukong,2024-08-19,$59.99,10M - 20M,105586
553850,HELLDIVERS 2,2024-02-08,$39.99,10M - 20M,41549
1623730,Palworld,2024-01-18,$22.49,10M - 20M,23650
1063730,New World: Aeternum,2021-09-28,$59.99,10M - 20M,22172
221100,DayZ,2018-12-13,$49.99,5M - 10M,47383
1172620,Sea of Thieves,2020-06-03,$39.99,5M - 10M,9577
284160,BeamNG.drive,2015-05-29,$24.99,5M - 10M,32113
548430,Deep Rock Galactic,2020-05-13,$29.99,5M - 10M,8258
275850,No Man's Sky,2016-08-12,$59.99,5M - 10M,11029
1118200,People Playground,2019-07-23,$9.99,5M - 10M,117172
374320,DARK SOULS III,2016-04-11,$59.99,5M - 10M,47449
1145360,Hades,2020-09-17,$24.99,5M - 10M,1105
1794680,Vampire Survivors,2022-10-20,$4.99,5M - 10M,94753
394360,Hearts of Iron IV,2016-06-06,$49.99,5M - 10M,79250
391540,Undertale,2015-09-15,$9.99,5M - 10M,15865
1237970,Titanfall 2,2020-06-18,$29.99,5M - 10M,23820
976730,Halo: The Master Chief Collection,2019-12-03,$39.99,5M - 10M,9618
1238810,Battlefield V,2020-10-22,$49.99,5M - 10M,2266
632360,Risk of Rain 2,2020-08-11,$24.99,5M - 10M,13497
1551360,Forza Horizon 5,2021-11-08,$29.99,5M - 10M,22064
49520,Borderlands 2,2012-09-17,$19.99,5M - 10M,140
526870,Satisfactory,2024-09-10,$39.99,5M - 10M,24497
1426210,It Takes Two,2021-03-25,$39.99,5M - 10M,2159
294100,RimWorld,2018-10-17,$34.99,5M - 10M,37870
782330,DOOM Eternal,2020-03-19,$39.99,5M - 10M,2385
427520,Factorio,2020-08-14,$35.00,5M - 10M,24497
435150,Divinity: Original Sin 2,2017-09-14,$44.99,5M - 10M,9328
268910,Cuphead,2017-09-29,$19.99,5M - 10M,70
203160,Tomb Raider,2013-03-04,$14.99,5M - 10M,417
646570,Slay the Spire,2019-01-23,$8.49,5M - 10M,59230
12210,Grand Theft Auto IV: Complete,2020-03-24,$6.99,5M - 10M,98684
518790,theHunter: Call of the Wild,2017-02-16,$19.99,5M - 10M,27509
534380,Dying Light 2 Stay Human,2022-02-03,$59.99,5M - 10M,30262
588650,Dead Cells,2018-08-06,$12.49,5M - 10M,4118
1229490,ULTRAKILL,2020-09-03,$24.99,5M - 10M,23
311210,Call of Duty: Black Ops III,2015-11-05,$59.99,5M - 10M,63681
1332010,Stray,2022-07-19,$29.99,5M - 10M,15543
48700,Mount & Blade: Warband,2010-03-31,$19.99,5M - 10M,2
306130,The Elder Scrolls Online,2017-05-22,$19.99,5M - 10M,23889
244210,Assetto Corsa,2014-12-19,$19.99,5M - 10M,32217
2183900,Warhammer 40k: Space Marine 2,2024-09-09,$38.99,5M - 10M,43209
