AppID,Title,List,ReleaseDate,WindowStart,Shifted,ReleaseScore,ReleasePositive,ReleaseNegative,ReleaseTotal,Capped,LatestScore,LatestTotal,LatestPositive,LatestNegative,Reason
730,Counter-Strike 2,free,2012-08-21,2013-11-25,True,94,11268,732,12000,True,86,9632460,8296566,1335894,pre-2013: window shifted to Steam-reviews launch
570,Dota 2,free,2013-07-09,2013-11-25,True,92,11090,909,11999,True,81,2717055,2195173,521882,pre-2013: window shifted to Steam-reviews launch
578080,PUBG: BATTLEGROUNDS,free,2017-12-21,2017-12-21,False,44,5255,6744,11999,True,60,2716779,1639409,1077370,
1172470,Apex Legends,free,2020-11-04,2020-11-04,False,86,10346,1652,11998,True,68,1050762,711000,339762,
230410,Warframe,free,2013-03-25,2013-11-25,True,94,9995,633,10628,False,88,664184,582574,81610,pre-2013: window shifted to Steam-reviews launch
236390,War Thunder,free,2013-08-15,2013-11-25,True,92,6290,562,6852,False,72,750403,543742,206661,pre-2013: window shifted to Steam-reviews launch
1599340,Lost Ark,free,2022-02-11,2022-02-11,False,75,9035,2965,12000,True,70,203195,143166,60029,
304930,Unturned,free,2017-07-07,2017-07-07,False,84,10137,1862,11999,True,91,563114,512643,50471,
440,Team Fortress 2,free,2007-10-10,2013-11-25,True,96,11546,454,12000,True,91,1233712,1121852,111860,pre-2013: window shifted to Steam-reviews launch
1850510,Overwatch 2,free,2022-10-13,2022-10-13,False,80,798,195,993,False,80,3604,2881,723,
1938090,Call of Duty (Free Tier),free,2022-10-27,2022-10-27,False,59,7134,4866,12000,True,59,772070,451747,320323,
1407200,World of Tanks,free,2021-04-28,2021-04-28,False,55,3227,2666,5893,False,80,98947,79415,19532,
273110,Counter-Strike Nexon: Studio,free,2014-10-07,2014-10-07,False,62,3492,2153,5645,False,67,43142,28769,14373,
700330,SCP: Secret Laboratory,free,2017-12-29,2017-12-29,False,80,3256,806,4062,False,91,230677,210184,20493,
698780,Doki Doki Literature Club!,free,2017-10-06,2017-10-06,False,97,11671,329,12000,True,96,221751,213949,7802,
1818750,MultiVersus,free,2022-07-19,2022-07-19,False,80,9633,2366,11999,True,76,116573,88735,27838,
677620,Splitgate,free,2019-05-24,2019-05-24,False,76,3631,1147,4778,False,91,110792,101265,9527,
466240,Deceit,free,2017-03-03,2017-03-03,False,61,893,574,1467,False,79,92463,73094,19369,
1046930,Dota Underlords,free,2019-06-20,2019-06-20,False,79,9468,2531,11999,True,82,90934,74773,16161,
218230,PlanetSide 2,free,2012-11-20,2013-11-25,True,91,4163,406,4569,False,81,74590,60058,14532,pre-2013: window shifted to Steam-reviews launch
588430,Fallout Shelter,free,2017-03-29,2017-03-29,False,84,7604,1501,9105,False,88,81220,71402,9818,
109600,Neverwinter,free,2013-12-05,2013-12-05,False,84,3293,605,3898,False,77,39475,30587,8888,
113400,APB Reloaded,free,2011-12-06,2013-11-25,True,76,2181,683,2864,False,63,37526,23766,13760,pre-2013: window shifted to Steam-reviews launch
844870,KurtzPel,free,2019-04-30,2019-04-30,False,60,6182,4138,10320,False,60,34032,20574,13458,
555570,Infestation: The New Z,free,2016-11-22,2016-11-22,False,45,5113,6253,11366,False,54,33889,18305,15584,
225840,Sven Co-op,free,2016-01-22,2016-01-22,False,90,2731,298,3029,False,94,32287,30214,2073,
211500,RaceRoom Racing Experience,free,2013-02-12,2013-11-25,True,57,316,236,552,False,76,27377,20817,6560,pre-2013: window shifted to Steam-reviews launch
273350,Evolve Stage 2,free,2015-02-10,2015-02-10,False,64,4397,2507,6904,False,70,48246,33816,14430,
308600,Gene Shift Auto,free,2017-05-23,2017-05-23,False,97,76,2,78,False,85,3017,2553,464,
253710,theHunter Classic,free,2014-06-03,2014-06-03,False,41,1654,2350,4004,False,59,44302,25936,18366,
397900,Business Tour,free,2017-07-27,2017-07-27,False,63,1363,810,2173,False,60,79684,47613,32071,
224260,No More Room in Hell,free,2013-10-31,2013-11-25,True,93,7307,541,7848,False,90,75957,68304,7653,pre-2013: window shifted to Steam-reviews launch
766570,Russian Fishing 4,free,2021-11-10,2021-11-10,False,84,2409,458,2867,False,59,86508,51318,35190,
1286830,STAR WARS: The Old Republic,free,2020-07-21,2020-07-21,False,88,9262,1248,10510,False,90,73744,66073,7671,
489520,Minion Masters,free,2019-05-24,2019-05-24,False,94,11314,686,12000,True,89,65228,58319,6909,
1049590,Eternal Return,free,2023-07-19,2023-07-19,False,73,3357,1226,4583,False,76,71041,54148,16893,
363970,Clicker Heroes,free,2015-05-13,2015-05-13,False,92,10667,982,11649,False,90,62021,55581,6440,
