AppID,Game Title,Release Date,Estimated Owners,Peak Concurrent Players (24h)
730,Counter-Strike 2,2012-08-21,100M+,1415913
570,Dota 2,2013-07-09,100M+,632090
578080,PUBG: BATTLEGROUNDS,2017-12-21,50M - 100M,798913
1172470,Apex Legends,2020-11-04,50M - 100M,277066
230410,Warframe,2013-03-25,50M - 100M,75491
236390,War Thunder,2013-08-15,20M - 50M,125430
1599340,Lost Ark,2022-02-11,20M - 50M,19461
304930,Unturned,2017-07-07,20M - 50M,18881
440,Team Fortress 2,2007-10-10,20M - 50M,67712
1850510,Overwatch 2,2023-08-10,10M - 20M,116538
1938090,Call of Duty (Free Tier),2022-10-27,10M - 20M,34659
1407200,World of Tanks,2021-04-28,10M - 20M,24172
273110,Counter-Strike Nexon: Studio,2014-10-07,10M - 20M,23570
700330,SCP: Secret Laboratory,2017-12-29,5M - 10M,10789
698780,Doki Doki Literature Club!,2017-10-06,5M - 10M,7402
1818750,MultiVersus,2022-07-19,5M - 10M,1099
677620,Splitgate,2019-05-24,5M - 10M,405
466240,Deceit,2017-03-03,5M - 10M,401
1046930,Dota Underlords,2019-06-20,5M - 10M,157
218230,PlanetSide 2,2012-11-20,5M - 10M,427
588430,Fallout Shelter,2017-03-29,5M - 10M,1140
109600,Neverwinter,2013-12-05,5M - 10M,2385
113400,APB Reloaded,2011-12-06,5M - 10M,475
844870,KurtzPel,2019-04-30,5M - 10M,1552
555570,Infestation: The New Z,2016-11-22,5M - 10M,33
225840,Sven Co-op,2016-01-22,5M - 10M,2266
211500,RaceRoom Racing Experience,2013-02-12,5M - 10M,10
273350,Evolve Stage 2,2015-02-10,5M - 10M,0
308600,Gene Shift Auto,2017-05-23,5M - 10M,6
253710,theHunter Classic,2014-06-03,5M - 10M,58
397900,Business Tour,2017-07-27,5M - 10M,13
224260,No More Room in Hell,2013-10-31,5M - 10M,221
766570,Russian Fishing 4,2021-11-10,5M - 10M,18483
1286830,STAR WARS: The Old Republic,2020-07-21,5M - 10M,20616
489520,Minion Masters,2019-05-24,5M - 10M,358
1049590,Eternal Return,2023-07-19,5M - 10M,18145
363970,Clicker Heroes,2015-05-13,5M - 10M,5166
346900,AdVenture Capitalist,2015-03-30,5M - 10M,23
333930,Dirty Bomb,2015-06-02,5M - 10M,2
2051620,Enlisted,2024-07-16,5M - 10M,11029
1335200,Action Taimanin,2020-10-05,500K - 1M,412
1397920,Mr.Mine,2020-09-30,500K - 1M,19153
489940,BATTALION: Legacy,2019-05-23,500K - 1M,3
1275670,Outcore: Desktop Adventure,2022-09-26,500K - 1M,8983
351640,Eternal Senia,2015-06-18,500K - 1M,33660
1147690,NGU IDLE,2019-10-01,500K - 1M,11479
1121910,I Love You Colonel Sanders!,2019-09-24,500K - 1M,14
2437170,SMITE 2,2024-08-27,500K - 1M,67772
365300,Transmissions: Element 120,2016-06-16,500K - 1M,365
409160,Dr. Langeskov The Tiger and The Emerald,2015-12-04,500K - 1M,4453
