AppID,Game Title,Review Score (/100),Rating,Total Reviews,Positive,Negative,Release Score (/100),Release Positive,Release Negative,Release Total Reviews,Release Window Start,Pre-2013 Shifted,Release Note
730,Counter-Strike 2,86,Very Positive,9632460,8296566,1335894,94,11268,732,12000,2013-11-25,True,pre-2013: window shifted to Steam-reviews launch
570,Dota 2,81,Very Positive,2717055,2195173,521882,92,11090,909,11999,2013-11-25,True,pre-2013: window shifted to Steam-reviews launch
578080,PUBG: BATTLEGROUNDS,60,Mixed,2716779,1639409,1077370,44,5255,6744,11999,2017-12-21,False,
1172470,Apex Legends,68,Mixed,1050762,711000,339762,86,10346,1652,11998,2020-11-04,False,
230410,Warframe,88,Very Positive,664184,582574,81610,94,9995,633,10628,2013-11-25,True,pre-2013: window shifted to Steam-reviews launch
236390,War Thunder,72,Mostly Positive,750403,543742,206661,92,6290,562,6852,2013-11-25,True,pre-2013: window shifted to Steam-reviews launch
1599340,Lost Ark,70,Mostly Positive,203195,143166,60029,75,9035,2965,12000,2022-02-11,False,
304930,Unturned,91,Very Positive,563114,512643,50471,84,10137,1862,11999,2017-07-07,False,
440,Team Fortress 2,91,Very Positive,1233712,1121852,111860,96,11546,454,12000,2013-11-25,True,pre-2013: window shifted to Steam-reviews launch
1850510,Overwatch 2,80,Mostly Positive,3604,2881,723,80,798,195,993,2022-10-13,False,
1938090,Call of Duty (Free Tier),59,Mixed,772070,451747,320323,59,7134,4866,12000,2022-10-27,False,
1407200,World of Tanks,80,Very Positive,98947,79415,19532,55,3227,2666,5893,2021-04-28,False,
273110,Counter-Strike Nexon: Studio,67,Mixed,43142,28769,14373,62,3492,2153,5645,2014-10-07,False,
700330,SCP: Secret Laboratory,91,Very Positive,230677,210184,20493,80,3256,806,4062,2017-12-29,False,
698780,Doki Doki Literature Club!,96,Overwhelmingly Positive,221751,213949,7802,97,11671,329,12000,2017-10-06,False,
1818750,MultiVersus,76,Mostly Positive,116573,88735,27838,80,9633,2366,11999,2022-07-19,False,
677620,Splitgate,91,Very Positive,110792,101265,9527,76,3631,1147,4778,2019-05-24,False,
466240,Deceit,79,Mostly Positive,92463,73094,19369,61,893,574,1467,2017-03-03,False,
1046930,Dota Underlords,82,Very Positive,90934,74773,16161,79,9468,2531,11999,2019-06-20,False,
218230,PlanetSide 2,81,Very Positive,74590,60058,14532,91,4163,406,4569,2013-11-25,True,pre-2013: window shifted to Steam-reviews launch
588430,Fallout Shelter,88,Very Positive,81220,71402,9818,84,7604,1501,9105,2017-03-29,False,
109600,Neverwinter,77,Mostly Positive,39475,30587,8888,84,3293,605,3898,2013-12-05,False,
113400,APB Reloaded,63,Mixed,37526,23766,13760,76,2181,683,2864,2013-11-25,True,pre-2013: window shifted to Steam-reviews launch
844870,KurtzPel,60,Mixed,34032,20574,13458,60,6182,4138,10320,2019-04-30,False,
555570,Infestation: The New Z,54,Mixed,33889,18305,15584,45,5113,6253,11366,2016-11-22,False,
225840,Sven Co-op,94,Very Positive,32287,30214,2073,90,2731,298,3029,2016-01-22,False,
211500,RaceRoom Racing Experience,76,Mostly Positive,27377,20817,6560,57,316,236,552,2013-11-25,True,pre-2013: window shifted to Steam-reviews launch
273350,Evolve Stage 2,70,Mostly Positive,48246,33816,14430,64,4397,2507,6904,2015-02-10,False,
308600,Gene Shift Auto,85,Very Positive,3017,2553,464,97,76,2,78,2017-05-23,False,
253710,theHunter Classic,59,Mixed,44302,25936,18366,41,1654,2350,4004,2014-06-03,False,
397900,Business Tour,60,Mixed,79684,47613,32071,63,1363,810,2173,2017-07-27,False,
224260,No More Room in Hell,90,Very Positive,75957,68304,7653,93,7307,541,7848,2013-11-25,True,pre-2013: window shifted to Steam-reviews launch
766570,Russian Fishing 4,59,Mixed,86508,51318,35190,84,2409,458,2867,2021-11-10,False,
1286830,STAR WARS: The Old Republic,90,Very Positive,73744,66073,7671,88,9262,1248,10510,2020-07-21,False,
489520,Minion Masters,89,Very Positive,65228,58319,6909,94,11314,686,12000,2019-05-24,False,
1049590,Eternal Return,76,Mostly Positive,71041,54148,16893,73,3357,1226,4583,2023-07-19,False,
363970,Clicker Heroes,90,Very Positive,62021,55581,6440,92,10667,982,11649,2015-05-13,False,
346900,AdVenture Capitalist,88,Very Positive,60128,52681,7447,92,9471,792,10263,2015-03-30,False,
333930,Dirty Bomb,81,Very Positive,56879,46254,10625,72,6881,2630,9511,2015-06-02,False,
2051620,Enlisted,80,Very Positive,43860,35176,8684,78,7957,2288,10245,2024-07-16,False,
1335200,Action Taimanin,83,Very Positive,19290,16017,3273,82,3644,788,4432,2020-10-05,False,
1397920,Mr.Mine,92,Very Positive,18430,16892,1538,91,3411,357,3768,2020-09-30,False,
489940,BATTALION: Legacy,60,Mixed,16324,9739,6585,73,4095,1477,5572,2019-05-23,False,
1275670,Outcore: Desktop Adventure,97,Overwhelmingly Positive,17816,17351,465,97,2712,72,2784,2022-09-26,False,
351640,Eternal Senia,98,Overwhelmingly Positive,12042,11741,301,98,2291,43,2334,2015-06-18,False,
1147690,NGU IDLE,96,Overwhelmingly Positive,12767,12206,561,97,1682,54,1736,2019-10-01,False,
1121910,I Love You Colonel Sanders!,92,Very Positive,12670,11623,1047,94,5252,355,5607,2019-09-24,False,
2437170,SMITE 2,55,Mixed,21884,12063,9821,55,1833,1504,3337,2024-08-27,False,
365300,Transmissions: Element 120,94,Very Positive,9923,9377,546,95,2765,152,2917,2016-06-16,False,
409160,Dr. Langeskov The Tiger and The Emerald,93,Very Positive,10109,9426,683,93,3194,233,3427,2015-12-04,False,
