AppID,Game Title,Review Score (/100),Rating,Total Reviews,Positive,Negative,Release Score (/100),Release Positive,Release Negative,Release Total Reviews,Release Window Start,Pre-2013 Shifted,Release Note
271590,Grand Theft Auto V Legacy,88,Very Positive,2060534,1805316,255218,79,9512,2488,12000,2015-04-13,False,
105600,Terraria,97,Overwhelmingly Positive,1525414,1485590,39824,98,11656,258,11914,2013-11-25,True,pre-2013: window shifted to Steam-reviews launch
292030,The Witcher 3: Wild Hunt,97,Overwhelmingly Positive,870346,842313,28033,97,11621,379,12000,2015-05-18,False,
4000,Garry's Mod,97,Overwhelmingly Positive,1239070,1200172,38898,98,11743,257,12000,2013-11-25,True,pre-2013: window shifted to Steam-reviews launch
550,Left 4 Dead 2,98,Overwhelmingly Positive,1035396,1009800,25596,98,11802,198,12000,2013-11-25,True,pre-2013: window shifted to Steam-reviews launch
489830,The Elder Scrolls V: Skyrim SE,92,Very Positive,366776,338764,28012,89,10652,1348,12000,2016-10-27,False,
72850,The Elder Scrolls V: Skyrim,95,Very Positive,317628,301094,16534,98,11791,209,12000,2013-11-25,True,pre-2013: window shifted to Steam-reviews launch
252490,Rust,87,Very Positive,1364758,1186668,178090,79,8244,2182,10426,2018-02-08,False,
1085660,Destiny 2 (Paid Legacy Pack),77,Mostly Positive,649683,503401,146282,86,10353,1647,12000,2019-10-01,False,
2358720,Black Myth: Wukong,97,Overwhelmingly Positive,1200395,1158840,41555,99,11856,142,11998,2024-08-19,False,
553850,HELLDIVERS 2,75,Mostly Positive,1144238,859190,285048,90,10806,1192,11998,2024-02-08,False,
1623730,Palworld,94,Very Positive,421537,397296,24241,91,10967,1033,12000,2024-01-18,False,
1063730,New World: Aeternum,67,Mixed,296658,198720,97938,59,7050,4950,12000,2021-09-28,False,
221100,DayZ,78,Mostly Positive,461470,358464,103006,43,3751,5017,8768,2018-12-13,False,
1172620,Sea of Thieves,89,Very Positive,369241,327606,41635,86,10339,1661,12000,2020-06-03,False,
284160,BeamNG.drive,97,Overwhelmingly Positive,396226,386085,10141,92,928,81,1009,2015-05-29,False,
548430,Deep Rock Galactic,97,Overwhelmingly Positive,376245,365574,10671,97,10660,312,10972,2020-05-13,False,
275850,No Man's Sky,85,Very Positive,407874,346151,61723,43,5126,6874,12000,2016-08-12,False,
1118200,People Playground,98,Overwhelmingly Positive,312408,307642,4766,97,339,9,348,2019-07-23,False,
374320,DARK SOULS III,94,Very Positive,435728,411080,24648,88,10529,1471,12000,2016-04-11,False,
1145360,Hades,98,Overwhelmingly Positive,303825,297878,5947,99,11926,74,12000,2020-09-17,False,
1794680,Vampire Survivors,98,Overwhelmingly Positive,262548,258207,4341,98,11768,231,11999,2022-10-20,False,
394360,Hearts of Iron IV,90,Very Positive,366120,330305,35815,84,3020,591,3611,2016-06-06,False,
391540,Undertale,96,Overwhelmingly Positive,324062,312707,11355,98,11812,188,12000,2015-09-15,False,
1237970,Titanfall 2,96,Overwhelmingly Positive,280245,267935,12310,96,11476,524,12000,2020-06-18,False,
976730,Halo: The Master Chief Collection,92,Very Positive,258699,238094,20605,91,10899,1101,12000,2019-12-03,False,
1238810,Battlefield V,71,Mostly Positive,266187,188075,78112,73,4798,1780,6578,2020-10-22,False,
632360,Risk of Rain 2,94,Very Positive,347777,326159,21618,96,11555,445,12000,2020-08-11,False,
1551360,Forza Horizon 5,89,Very Positive,273734,243998,29736,89,10732,1266,11998,2021-11-08,False,
49520,Borderlands 2,89,Very Positive,310839,278158,32681,97,11692,308,12000,2013-11-25,True,pre-2013: window shifted to Steam-reviews launch
526870,Satisfactory,97,Overwhelmingly Positive,270865,263451,7414,100,11944,54,11998,2024-09-10,False,
1426210,It Takes Two,95,Overwhelmingly Positive,261176,249184,11992,96,11465,535,12000,2021-03-25,False,
294100,RimWorld,98,Overwhelmingly Positive,240021,234936,5085,99,9018,129,9147,2018-10-17,False,
782330,DOOM Eternal,91,Very Positive,214838,196310,18528,75,8941,3059,12000,2020-03-19,False,
427520,Factorio,98,Overwhelmingly Positive,229844,224112,5732,99,11089,163,11252,2020-08-14,False,
435150,Divinity: Original Sin 2,96,Overwhelmingly Positive,202950,194191,8759,96,11529,471,12000,2017-09-14,False,
268910,Cuphead,96,Overwhelmingly Positive,210113,202189,7924,98,11699,299,11998,2017-09-29,False,
203160,Tomb Raider,96,Overwhelmingly Positive,265325,254828,10497,97,6113,213,6326,2013-11-25,True,pre-2013: window shifted to Steam-reviews launch
646570,Slay the Spire,98,Overwhelmingly Positive,213141,207970,5171,97,2598,86,2684,2019-01-23,False,
12210,Grand Theft Auto IV: Complete,83,Very Positive,195734,162747,32987,79,4410,1181,5591,2020-03-24,False,
518790,theHunter: Call of the Wild,89,Very Positive,197517,175959,21558,76,2528,796,3324,2017-02-16,False,
534380,Dying Light 2 Stay Human,79,Mostly Positive,213404,168858,44546,74,8918,3082,12000,2022-02-03,False,
588650,Dead Cells,97,Overwhelmingly Positive,180271,174947,5324,93,2738,203,2941,2018-08-06,False,
1229490,ULTRAKILL,97,Overwhelmingly Positive,230464,224496,5968,98,3504,56,3560,2020-09-03,False,
311210,Call of Duty: Black Ops III,85,Very Positive,229247,194791,34456,62,7496,4504,12000,2015-11-05,False,
1332010,Stray,97,Overwhelmingly Positive,172377,167579,4798,97,11586,413,11999,2022-07-19,False,
48700,Mount & Blade: Warband,98,Overwhelmingly Positive,170980,167086,3894,99,2359,28,2387,2013-11-25,True,pre-2013: window shifted to Steam-reviews launch
306130,The Elder Scrolls Online,81,Very Positive,160044,129570,30474,78,1425,399,1824,2017-05-22,False,
244210,Assetto Corsa,93,Very Positive,169914,157705,12209,88,1005,133,1138,2014-12-19,False,
2183900,Warhammer 40k: Space Marine 2,84,Very Positive,211931,177356,34575,96,11573,427,12000,2024-09-09,False,
