window,group,n_games,point_estimate,ci_low,ci_high
1-6 mo,Free-to-play,47,0.5688,0.4282,0.6637
1-6 mo,Paid,50,0.4145,0.3232,0.5484
1-6 mo,Free minus Paid,47 vs 50,0.1543,-0.0462,0.2921
7-12 mo,Free-to-play,44,0.3875,0.2831,0.5045
7-12 mo,Paid,47,0.2869,0.2563,0.4204
7-12 mo,Free minus Paid,44 vs 47,0.1005,-0.0861,0.2254
13-24 mo,Free-to-play,42,0.2786,0.1749,0.3878
13-24 mo,Paid,45,0.2751,0.2344,0.3766
13-24 mo,Free minus Paid,42 vs 45,0.0035,-0.143,0.1241
25-48 mo,Free-to-play,40,0.1795,0.1208,0.2829
25-48 mo,Paid,35,0.2577,0.1507,0.356
25-48 mo,Free minus Paid,40 vs 35,-0.0781,-0.1827,0.0693
49-96 mo,Free-to-play,30,0.115,0.0461,0.1527
49-96 mo,Paid,28,0.2106,0.1591,0.2444
49-96 mo,Free minus Paid,30 vs 28,-0.0956,-0.178,-0.0361
